,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,'a'
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,'w'
2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,'w'
3,4,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,'a'
4,0,0,4,2,0,0,0,2,0,0,0,2,0,0,0,2,4,'a'
5,4,2,0,0,4,0,0,0,2,0,0,0,2,0,0,0,8,'a'
6,0,0,4,2,0,0,4,2,0,0,0,2,0,0,0,2,8,'a'
7,0,0,8,4,0,0,2,4,0,0,0,0,0,0,0,0,24,'a'
8,2,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,32,'a'
9,0,0,2,16,0,0,0,4,0,0,0,0,0,0,0,0,52,'a'
10,0,0,4,16,0,0,0,4,0,0,0,0,0,0,0,0,56,'a'
11,4,16,0,0,4,0,0,0,0,0,0,0,2,0,0,0,56,'a'
12,8,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,64,'a'
13,0,8,16,2,0,0,0,4,0,0,0,0,0,0,0,0,68,'a'
14,8,16,2,0,4,0,0,0,2,0,0,0,0,0,0,0,68,'a'
15,8,16,2,0,4,2,0,0,2,0,0,0,0,0,0,0,68,'a'
16,8,16,2,2,4,2,0,0,2,0,0,0,0,0,0,0,68,'a'
17,0,8,16,4,0,0,4,2,0,0,0,2,0,0,0,2,72,'a'
18,0,8,16,4,0,0,4,2,0,0,0,4,0,0,0,2,76,'a'
19,0,8,16,4,0,0,4,2,0,0,0,4,0,0,0,4,80,'a'
20,2,8,16,4,0,0,4,2,0,0,0,8,0,0,0,0,88,'a'
21,2,8,16,4,4,2,0,0,2,8,0,0,0,0,0,0,88,'a'
22,2,8,16,4,4,4,0,0,2,8,0,0,0,0,0,0,92,'a'
23,2,8,16,4,0,0,0,8,0,0,2,8,0,0,0,2,100,'a'
24,4,8,16,4,0,0,2,16,0,0,0,2,0,0,0,0,120,'a'
25,4,8,16,4,4,16,0,0,2,0,0,0,0,0,0,0,124,'a'
26,4,8,16,4,0,0,4,16,0,0,0,2,0,0,0,2,124,'a'
27,4,8,16,4,2,0,4,16,0,0,0,4,0,0,0,0,128,'a'
28,4,8,16,4,0,2,4,16,0,0,2,4,0,0,0,0,128,'a'
29,4,8,16,4,0,4,4,16,0,0,2,4,0,0,0,0,132,'a'
30,4,8,16,4,0,4,4,16,0,0,4,4,0,0,0,0,136,'a'
31,4,8,16,4,8,16,0,0,2,8,0,0,0,0,0,0,152,'a'
32,4,8,16,4,0,8,16,2,0,0,2,8,0,0,0,0,152,'a'
33,4,8,16,4,8,16,2,0,4,8,0,0,0,0,0,0,156,'a'
34,4,8,16,4,0,8,16,2,0,4,8,2,0,0,0,0,156,'a'
35,4,8,16,4,8,16,2,0,4,8,2,0,2,0,0,0,156,'a'
36,4,8,16,4,0,8,16,2,0,4,8,2,0,0,0,4,160,'a'
37,4,8,16,4,8,16,2,0,4,8,2,0,2,4,0,0,160,'a'
38,4,8,16,4,8,16,4,0,4,8,2,0,2,4,0,0,164,'a'
39,4,8,16,4,8,16,4,2,4,8,2,0,2,4,0,0,164,'a'
40,4,8,16,4,8,16,4,4,4,8,2,0,2,4,0,0,168,'a'
41,4,8,16,8,8,16,4,2,4,8,2,0,2,4,0,0,176,'a'
42,4,8,16,8,8,16,4,4,4,8,2,0,2,4,0,0,180,'a'
43,4,8,16,8,8,16,4,4,4,8,2,2,2,4,0,0,180,'a'
44,4,8,16,8,8,16,4,4,4,8,2,4,2,4,0,0,184,'a'
45,4,8,16,8,8,16,8,0,4,8,2,4,2,4,2,0,192,'a'
46,4,8,16,8,8,16,8,2,4,8,4,4,2,4,0,0,196,'a'
47,4,8,16,8,8,16,8,2,0,4,8,8,0,2,4,2,204,'a'
48,4,8,16,8,8,16,8,2,2,4,16,0,2,4,2,0,220,'a'
49,4,8,16,8,8,16,8,2,2,4,16,2,0,2,4,2,220,'a'
50,4,8,16,8,8,16,8,2,2,4,16,2,4,4,2,0,224,'a'
51,4,8,16,8,8,16,8,2,2,4,16,2,8,4,0,0,236,'a'
52,4,8,16,8,8,16,8,4,2,8,16,2,8,0,0,0,248,'a'
53,4,8,16,8,8,16,8,4,2,8,16,2,0,0,8,2,248,'a'
54,4,8,16,8,8,16,8,4,2,8,16,4,0,2,8,0,252,'a'
55,4,8,16,8,8,16,8,4,2,8,16,4,4,8,0,0,256,'a'
56,4,8,16,8,8,16,8,4,2,8,16,4,0,4,8,2,256,'a'
57,4,8,16,8,8,16,8,8,4,8,16,2,0,4,8,0,268,'a'
58,4,8,16,8,0,8,16,16,4,8,16,2,0,2,4,8,284,'a'
59,4,8,16,8,0,2,8,32,4,8,16,2,0,2,4,8,316,'a'
60,4,8,16,8,4,8,32,0,4,8,16,2,2,4,8,0,320,'w'
61,8,16,16,8,4,8,32,4,2,4,16,0,0,0,8,0,348,'w'
62,0,8,32,8,4,8,32,4,0,2,4,16,0,0,8,2,380,'w'
63,2,16,64,8,4,2,4,4,0,0,8,16,0,0,0,2,460,'w'
64,2,16,64,8,0,4,2,8,0,0,8,16,0,0,0,4,472,'w'
65,4,16,64,16,0,4,2,16,0,0,8,4,0,0,0,0,492,'w'
66,4,16,64,32,0,4,2,4,0,0,8,2,0,0,0,0,524,'w'
